id,nombreCurso,grupo,nota,periodo
1,Electiva Profesional I,1,0.3,2022-3
2,Formacion Ciudadana III: Paz y Convivencia,4,3.1,2021-3
3,Ingles 2,1,4.4,2022-3
4,Electiva Profesional I,1,3.9,2023-3
5,Calculo 1,2,4.6,2021-1
6,Electiva Profesional 4,4,1.5,2022-3
7,Legislacion y etica en el manejo de datos,1,4.4,2021-3
8,Ingles 5,4,3.5,2021-3
9,Calculo 2,1,2.0,2024-1
10,Sistemas Operativos,2,1.5,2021-3
11,Analitica de Datos,5,3.7,2021-1
12,Formacion Ciudadana I : Identidades y Pluralismo,4,4.0,2021-3
13,Sistemas Operativos,1,1.0,2024-1
14,Innovacion y Emprendimiento,4,0.9,2023-1
15,Almacenamiento de Datos,2,1.3,2022-1
16,Ingles 3,1,3.8,2021-3
17,Formacion Ciudadana II: Sociedad y Estado,4,4.9,2022-3
18,Logica y Matematica Discreta,2,4.1,2021-1
19,Programacion,2,3.3,2023-3
20,Sistemas Operativos,5,1.4,2021-3
21,Ingles 1,4,3.9,2021-3
22,Ingles 2,2,1.0,2022-1
23,Ingles 5,4,3.9,2022-1
24,Ingles 1,5,2.5,2021-3
25,Electiva Profesional 2,3,1.5,2022-1
26,Comunicacion Oral y Escrita,2,2.7,2021-1
27,Seguridad de la informacion,1,1.5,2021-1
28,Administracion para Ingenieros,1,4.1,2022-3
29,Ingenieria y Sostenibilidad,1,1.5,2022-1
30,Algebra Lineal,1,2.2,2021-3
31,Electiva Profesional I,5,2.4,2024-1
32,Redes e Infraestructura,1,0.2,2024-1
33,Almacenamiento de Datos,5,0.9,2021-3
34,Electiva Profesional 4,2,3.3,2021-3
35,Ingles 1,3,4.5,2023-3
36,Logica y Matematica Discreta,2,3.1,2024-1
37,Logica y Matematica Discreta,3,0.5,2021-1
38,Administracion para Ingenieros,1,1.8,2021-1
39,Ingenieria y Sostenibilidad,5,1.4,2022-3
40,Electiva de Lectura y Escritura,4,4.7,2023-3
41,Ingles 4,1,3.7,2023-1
42,Electiva Profesional 2,3,1.4,2023-1
43,Ingles 1,1,2.5,2021-1
44,Programacion,3,0.3,2021-3
45,Legislacion y etica en el manejo de datos,1,1.4,2023-3
46,Algebra Lineal,5,3.1,2023-1
47,Matematicas Fundamentales,3,2.6,2021-1
48,Formacion Ciudadana III: Paz y Convivencia,2,3.5,2024-1
49,Electiva Profesional 2,1,4.1,2024-1
50,Administracion para Ingenieros,2,2.2,2023-1
51,Estadistica y Probabilidad I,2,2.7,2021-1
52,Legislacion y etica en el manejo de datos,5,4.4,2022-1
53,Electiva Libre I,1,0.4,2021-1
54,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,1.2,2024-1
55,Estadistica y Probabilidad II,2,4.3,2021-1
56,Ingles 3,2,0.1,2023-1
