id,nombreCurso,grupo,nota,periodo
1,Electiva Profesional 5,5,0.1,2022-3
2,Seminario de Ing. de Datos e I.A.,2,2.6,2021-3
3,Comunicacion Oral y Escrita,5,0.3,2022-3
4,Electiva de Ciencias Sociales,5,0.3,2021-1
5,Legislacion y etica en el manejo de datos,2,2.4,2022-1
6,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,5,4.2,2023-1
7,Formacion Ciudadana I : Identidades y Pluralismo,2,0.4,2022-1
8,Redes e Infraestructura,3,1.4,2021-3
9,Ingenieria y Sostenibilidad,5,2.0,2024-1
10,Electiva Profesional 4,3,2.6,2022-1
11,Estadistica y Probabilidad I,1,2.5,2022-3
12,Seguridad de la informacion,1,2.3,2021-3
13,Electiva de Lectura y Escritura,2,1.3,2023-3
14,ETL (Extraccion,1,0.7,2023-3
15,Transformacion y Carga),5,2.4,2023-3
16,Seminario de Ing. de Datos e I.A.,1,2.6,2021-1
17,Logica y Matematica Discreta,5,1.0,2021-3
18,Almacenamiento de Datos,3,1.5,2023-1
19,Matematicas Fundamentales,5,2.2,2022-1
20,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,1.2,2021-1
21,Innovacion y Emprendimiento,1,2.8,2024-1
22,Electiva Libre I,3,1.2,2023-3
23,Calculo 1,2,1.2,2023-3
24,Electiva Libre I,5,2.8,2022-1
25,Ingles 1,2,4.7,2023-3
26,Comunicacion Oral y Escrita,5,1.2,2021-1
27,Formacion Ciudadana III: Paz y Convivencia,5,5.0,2023-1
28,Logica y Matematica Discreta,4,0.3,2021-3
29,Programacion,3,4.5,2023-3
30,Legislacion y etica en el manejo de datos,2,4.5,2022-3
31,Electiva de Ciencias Sociales,3,4.5,2023-1
32,Legislacion y etica en el manejo de datos,5,4.7,2023-3
33,Ingles 4,4,3.6,2023-3
34,Ingles 1,1,0.6,2023-1
35,Estadistica y Probabilidad II,3,2.8,2023-3
36,Analitica de Datos,4,1.3,2023-3
37,Electiva Libre I,3,3.6,2021-1
38,Innovacion y Emprendimiento,4,0.5,2024-1
39,Inteligencia Artificial,3,3.2,2022-1
40,Administracion para Ingenieros,1,1.6,2024-1
41,Seminario de Ing. de Datos e I.A.,3,1.0,2023-3
