id,nombreCurso,grupo,nota,periodo
1,Electiva de  Ciencias Sociales,4,0.6,2023-3
2,Administración para Ingenieros,3,3.3,2021-3
3,Administración para Ingenieros,4,4.6,2021-1
4,Estadística y Probabilidad I,2,1.9,2022-1
5,Ingles 2,4,3.5,2021-3
6,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,4.8,2024-1
7,Formación Ciudadana I : Identidades y Pluralismo,1,4.9,2022-1
8,Comunicación Oral y Escrita,4,0.2,2023-1
9,Seminario de Ing. de Datos e IA,1,4.5,2022-1
10,Estadística y Probabilidad I,3,3.5,2021-3
11,Estadística y Probabilidad I,4,4.7,2022-3
12,Seguridad de la Información,2,1.4,2021-1
13,Innovación y Emprendimiento,2,3.2,2021-3
14,Ingles 4,2,3.7,2024-3
15,Electiva Profesional 5,4,2.6,2024-1
16,Cálculo 1,4,4.4,2022-1
17,Ingles 4,2,1.8,2021-3
18,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,2.5,2024-3
19,Ingles 2,4,0.6,2023-3
20,Electiva de  Ciencias Sociales,3,3.9,2024-3
21,ETL (Extracción,2,3.3,2022-3
22,ETL (Extracción,1,2.3,2024-1
23,Electiva de Lectura y Escritura,1,0.9,2023-3
24,Sistemas Operativos,4,2.5,2024-3
25,Inteligencia Artificial,4,1.4,2022-1
26,Comunicación Oral y Escrita,1,3.5,2022-1
27,Seminario de Ing. de Datos e IA,4,4.1,2022-3
28,Comunicación Oral y Escrita,1,0.5,2023-1
29,Electiva Profesional 5,1,4.2,2022-3
30,Analítica de Datos,1,1.0,2022-1
31,Estadística y Probabilidad I,2,4.2,2021-3
32,Ingles 1,1,1.3,2024-1
33,Electiva Profesional 2,1,2.6,2024-3
34,Redes e Infraestructura,3,2.9,2022-1
35,Electiva de  Ciencias Sociales,2,4.5,2023-3
36,Electiva profesional 4,4,0.3,2022-1
37,Analítica de Datos,2,1.1,2021-1
38,Electiva de Lectura y Escritura,3,1.1,2023-3
39,Estadística y Probabilidad I,2,2.3,2023-3
40,Introducción a la Ingeniería de Datos e Inteligencia Artificial,4,0.9,2022-3
41,Electiva profesional 4,2,2.8,2022-3
42,Ingles 5,3,0.1,2021-1
43,Innovación y Emprendimiento,2,4.2,2024-1
44,Matemáticas Fundamentales,3,2.8,2024-3
45,Programación,4,4.7,2021-1
46,Legislación y Ética en el Manejo de Datos,1,4.5,2024-3
47,Innovación y Emprendimiento,1,4.2,2021-1
48,Comunicación Oral y Escrita,2,4.9,2023-1
49,Administración para Ingenieros,3,4.0,2022-3
50,Ingeniería y Sostenibilidad,3,2.2,2022-1
51,Cálculo 1,2,0.2,2022-3
52,Electiva Libre I,2,2.4,2021-1
53,Electiva de Lectura y Escritura,1,0.8,2024-3
54,Electiva Profesional 5,1,0.9,2022-3
55,Electiva Libre I,1,0.4,2022-1
56,Electiva de  Ciencias Sociales,4,4.2,2024-1
57,Estadística y Probabilidad I,2,3.5,2023-1
58,Administración para Ingenieros,1,2.4,2021-1
59,Matemáticas Fundamentales,2,1.9,2023-3
60,Estadística y Probabilidad II,1,0.7,2021-3
61,Ingles 5,4,3.2,2023-1
62,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1,4.5,2024-3
63,Formación Ciudadana I : Identidades y Pluralismo,4,4.0,2021-1
64,Sistemas Operativos,1,4.0,2022-1
65,Innovación y Emprendimiento,4,1.6,2023-3
66,Comunicación Oral y Escrita,2,4.2,2021-1
67,Estadística y Probabilidad II,4,4.4,2024-3
68,Electiva Profesional 3,2,0.9,2024-3
69,Almacenamiento de datos,4,4.7,2023-3
70,Sistemas Operativos,4,2.3,2024-3
71,ETL (Extracción,1,1.3,2021-1
72,Analítica de Datos,4,2.1,2021-3
73,ETL (Extracción,3,0.9,2023-3
74,Seguridad de la Información,3,0.4,2023-1
75,Legislación y Ética en el Manejo de Datos,4,0.2,2021-3
76,Ingles 5,3,3.9,2023-3
77,Estadística y Probabilidad I,2,4.7,2023-3
78,Ingles 1,1,3.1,2024-1
79,Matemáticas Fundamentales,3,3.7,2024-1
80,Seminario de Ing. de Datos e IA,4,2.7,2024-1
81,Innovación y Emprendimiento,2,4.4,2024-1
82,Matemáticas Fundamentales,1,3.0,2022-1
83,Seminario de Ing. de Datos e IA,2,3.0,2022-1
84,Inteligencia Artificial,2,3.5,2023-1
85,Programación,4,0.4,2024-3
86,Electiva de  Ciencias Sociales,2,3.0,2023-3
87,Matemáticas Fundamentales,4,4.1,2023-3
88,Seguridad de la Información,1,0.4,2024-3
89,Lógica y Matemática Discreta,4,4.1,2021-1
90,Matemáticas Fundamentales,4,0.8,2022-1
91,Electiva Libre I,1,4.0,2021-1
92,Electiva Profesional 3,1,4.2,2021-3
93,Electiva Libre I,4,3.1,2023-1
94,Sistemas Operativos,1,0.8,2022-3
95,Programación,3,2.6,2022-1
96,Electiva Profesional 1,3,1.4,2024-1
97,Inteligencia Artificial,1,4.8,2023-3
98,Redes e Infraestructura,1,4.1,2024-3
99,Redes e Infraestructura,3,2.4,2024-3
100,Formación Ciudadana II: Sociedad y Estado,3,1.5,2021-1
101,Inteligencia Artificial,3,1.3,2022-1
102,Comunicación Oral y Escrita,3,4.8,2021-1
103,Electiva Profesional 2,3,4.0,2022-1
104,Ingles 2,2,2.9,2022-1
105,Seminario de Ing. de Datos e IA,3,1.2,2023-3
106,Comunicación Oral y Escrita,3,0.3,2021-3
107,Inteligencia Artificial,2,3.9,2022-1
108,Seminario de Ing. de Datos e IA,3,4.4,2024-3
109,Estadística y Probabilidad I,2,2.0,2021-1
110,Ingles 1,3,4.3,2021-1
111,Estadística y Probabilidad II,1,1.9,2023-1
112,Matemáticas Fundamentales,1,2.7,2022-3
113,Formación Ciudadana III: Paz y Convivencia,3,4.2,2023-3
114,Legislación y Ética en el Manejo de Datos,2,2.6,2023-1
115,Formación Ciudadana I : Identidades y Pluralismo,3,4.8,2022-1
116,Lógica y Matemática Discreta,2,3.3,2021-3
117,Cálculo 2,2,0.5,2022-3
118,Administración para Ingenieros,2,2.2,2024-1
119,Electiva Profesional 1,3,2.3,2022-3
120,Electiva de  Ciencias Sociales,1,3.8,2022-1
121,ETL (Extracción,2,0.5,2023-1
122,Electiva Libre I,4,2.6,2023-1
123,Electiva Profesional 5,2,3.0,2024-3
124,Formación Ciudadana II: Sociedad y Estado,2,2.2,2021-1
125,Electiva de Lectura y Escritura,2,3.3,2024-1
126,Almacenamiento de datos,2,3.3,2023-1
127,Matemáticas Fundamentales,3,4.7,2024-1
128,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,1.7,2022-1
129,Álgebra lineal,1,2.7,2022-1
130,Electiva de  Ciencias Sociales,1,0.3,2021-3
131,Formación Ciudadana I : Identidades y Pluralismo,3,4.9,2024-3
132,Electiva Profesional 1,4,2.5,2022-3
133,Comunicación Oral y Escrita,3,2.0,2023-3
134,Transformación y Carga),4,2.9,2022-1
135,Ingeniería y Sostenibilidad,2,3.6,2021-1
136,Seminario de Ing. de Datos e IA,1,0.5,2022-1
137,Analítica de Datos,1,3.4,2021-1
138,Álgebra lineal,2,2.6,2024-1
139,Programación,2,4.4,2024-3
140,Formación Ciudadana III: Paz y Convivencia,2,0.3,2023-3
141,Electiva profesional 4,4,4.3,2022-1
142,Sistemas Operativos,1,0.6,2022-3
143,Seguridad de la Información,4,2.3,2024-1
144,Matemáticas Fundamentales,4,1.2,2023-3
145,Electiva Profesional 2,4,4.9,2022-1
146,Almacenamiento de datos,4,3.7,2022-3
147,Seminario de Ing. de Datos e IA,1,0.1,2023-1
148,Electiva Libre I,4,4.8,2021-1
149,Estadística y Probabilidad II,3,4.8,2021-3
150,Seguridad de la Información,4,1.6,2022-3
151,Administración para Ingenieros,2,2.5,2024-3
152,Álgebra lineal,3,4.2,2024-1
153,Ingeniería y Sostenibilidad,1,0.6,2021-1
154,Formación Ciudadana III: Paz y Convivencia,4,3.5,2021-3
155,Ingles 5,4,3.8,2023-1
156,Almacenamiento de datos,1,2.4,2023-3
157,Almacenamiento de datos,1,0.5,2021-3
158,Administración para Ingenieros,4,2.4,2024-1
159,Estadística y Probabilidad II,3,3.8,2024-1
160,Lógica y Matemática Discreta,1,4.9,2023-1
161,Inteligencia Artificial,4,3.0,2024-1
162,Transformación y Carga),3,3.4,2023-1
163,Formación Ciudadana I : Identidades y Pluralismo,4,0.5,2022-3
164,Transformación y Carga),3,2.7,2024-3
165,Seguridad de la Información,2,1.4,2024-1
166,Transformación y Carga),4,1.4,2024-3
167,Ingles 3,1,4.7,2023-3
168,Transformación y Carga),1,4.2,2022-3
169,Electiva Profesional 1,4,3.0,2021-1
170,Programación,4,1.3,2022-3
171,Seguridad de la Información,4,3.4,2023-1
172,Almacenamiento de datos,4,1.3,2024-3
173,Redes e Infraestructura,3,0.5,2021-3
174,Ingles 2,1,1.5,2024-1
175,Administración para Ingenieros,1,3.5,2022-3
176,Cálculo 2,1,4.3,2023-3
177,ETL (Extracción,4,4.9,2021-1
178,Electiva de Lectura y Escritura,3,2.3,2021-3
179,Formación Ciudadana III: Paz y Convivencia,1,2.0,2023-1
180,Álgebra lineal,2,3.8,2021-3
181,Comunicación Oral y Escrita,1,2.6,2022-1
182,Estadística y Probabilidad II,2,2.5,2023-3
183,Cálculo 1,3,2.1,2022-1
184,Ingles 1,4,0.4,2024-3
185,Formación Ciudadana II: Sociedad y Estado,3,2.2,2022-1
186,Almacenamiento de datos,4,4.8,2021-3
187,Álgebra lineal,4,1.1,2022-3
188,Ingles 3,2,3.6,2022-3
189,Legislación y Ética en el Manejo de Datos,3,0.5,2023-3
190,Electiva Profesional 5,3,0.2,2023-1
191,Electiva de  Ciencias Sociales,1,4.0,2024-3
192,Ingles 2,2,3.5,2024-3
193,Redes e Infraestructura,4,3.1,2022-3
194,Redes e Infraestructura,1,1.1,2024-3
195,Electiva de Lectura y Escritura,3,1.6,2021-1
196,Electiva Profesional 5,4,3.5,2021-3
197,Seminario de Ing. de Datos e IA,2,4.4,2023-3
198,Electiva Profesional 2,3,2.9,2022-3
199,Transformación y Carga),2,3.7,2021-1
200,Electiva Libre I,3,3.6,2021-1
201,Ingles 3,2,0.0,2021-1
202,Formación Ciudadana I : Identidades y Pluralismo,1,0.7,2024-3
203,Inteligencia Artificial,3,4.6,2024-3
204,Seminario de Ing. de Datos e IA,3,4.1,2023-3
205,Ingles 4,1,2.5,2022-1
206,Legislación y Ética en el Manejo de Datos,3,1.8,2024-1
207,Ingles 5,3,0.6,2022-1
208,Analítica de Datos,3,0.1,2021-1
209,Ingles 2,2,0.1,2023-3
210,Programación,3,2.7,2021-1
211,Programación,4,1.8,2021-1
212,Cálculo 2,3,5.0,2021-3
213,Álgebra lineal,2,0.4,2021-3
214,Electiva profesional 4,2,3.2,2021-1
215,Innovación y Emprendimiento,1,4.6,2024-1
